Car Names,Years of Production,Number Of,BodyStyles
   Chrysler Sebring 2.0i 16V LE,2001 - 2003,4,"Sedan
"
   Chrysler Sebring 2.0i 16V LE,2003 - 2006,4,"Sedan
"
   Chrysler Sebring 2.0 16V Touring,2007 - 2010,4,"Sedan
"
   Chrysler Sebring Cabrio 2.0i 16V LE,2002 - 2003,2,"Convertible
"
   Chrysler Sebring Cabrio 2.0i 16V LX,2003 - 2006,2,"Convertible
"
   Chrysler Sebring Cabrio 2.7 V6 Touring,2007 - 2010,2,"Convertible
"
   Chrysler Stratus 2.0i 16V LE,1995 - 2001,4,"Sedan
"
   Chrysler Stratus Convertible 2.0i 16V LE,1996 - 1999,2,"Convertible
"
   Chrysler Vision 3.5i V6 24V,1993 - 1998,4,"Sedan
"
   Chrysler Grand Voyager 3.3i V6 SE,1991 - 1994,4,"MPV
"
   Chrysler Voyager 2.5i SE,1988 - 1991,4,"MPV
"
   Chrysler Voyager 2.5i S,1993 - 1994,4,"MPV
"
   Chrysler Grand Voyager 2.4i SE,1997 - 1998,5,"MPV
"
   Chrysler Grand Voyager 2.4i SE,2001 - 2004,5,"MPV
"
   Chrysler Grand Voyager 2.4i SE,2004 - 2005,5,"MPV
"
   Chrysler Voyager 2.4i 16V S,1996 - 1998,5,"MPV
"
   Chrysler Voyager 2.4i 16V SE,2001 - 2004,5,"MPV
"
   Chrysler Voyager 2.4i 16V SE,2004 - 2008,5,"MPV
"
   Citroen 2CV 6 Special,1970 - 1987,4,"Sedan
"
   Citroen AX 10 E,1987 - 1988,3,"Hatchback
"
   Citroen AX 11 First,1991 - 1995,3,"Hatchback
"
   Citroen AX 10 E,1988 - 1988,5,"Hatchback
"
   Citroen AX 11 First,1991 - 1995,5,"Hatchback
"
   Citroen Berlingo 1.4i Cinqspace,1997 - 2002,4,"MPV
"
   Citroen Berlingo 1.4i Cinqspace,2002 - 2008,4,"MPV
"
   Citroen Berlingo 1.6i 90 Cinqspace,2008 - 2011,5,"MPV
"
   Citroen Berlingo Multispace VTi 95 Attraction,2012 - 2015,5,"MPV
"
   Citroen BX 14,1983 - 1986,5,"Hatchback
"
   Citroen BX 14,1986 - 1989,5,"Hatchback
"
   Citroen BX 14 Injection,1989 - 1992,5,"Hatchback
"
   Citroen BX Break 16 RS,1985 - 1986,5,"Station wagon
"
   Citroen BX Break 16 RE,1988 - 1989,5,"Station wagon
"
   Citroen BX Break 16 TGI,1989 - 1994,5,"Station wagon
"
   Citroen C-Crosser 2.4i 16v Prestige,2008 - 2012,5,"SUV
"
   Citroen C-Zero,2010 - 2016,5,"Hatchback
"
   Citroen C1 1.0i Seduction,2005 - 2008,3,"Hatchback
"
   Citroen C1 1.0i Seduction,2008 - 2010,3,"Hatchback
"
   Citroen C1 1.0i Attraction,2012 - 2014,3,"Hatchback
"
   Citroen C1 1.0i Seduction,2005 - 2008,5,"Hatchback
"
   Citroen C1 1.0i Seduction,2008 - 2010,5,"Hatchback
"
   Citroen C1 1.0i Attraction,2012 - 2014,5,"Hatchback
"
   Citroen C2 1.1 Ligne Seduction,2003 - 2008,3,"Hatchback
"
   Citroen C2 1.1i Seduction,2008 - 2009,3,"Hatchback
"
   Citroen C3 1.1 Ligne Seduction,2002 - 2005,5,"Hatchback
"
   Citroen C3 1.1 First,2009 - 2010,5,"Hatchback
"
   Citroen C3 1.1i Essentiel,2010 - 2011,5,"Hatchback
"
   Citroen C3 Pluriel 1.4,2003 - 2010,2,"Convertible
"
,,,
,,,
,,,
   Citroen C3 Picasso 1.4 VTi Seduction,2009 - 2011,5,"MPV
"
   Citroen C4 1.4 16V Ligne Seduction,2004 - 2008,5,"Hatchback
"
   Citroen C4 1.4 16V Seduction,2008 - 2009,5,"Hatchback
"
   Citroen C4 VTi 95 Attraction,2010 - 2014,5,"Hatchback
"
   Citroen C4 Coupe 1.4 16V Ligne Seduction,2004 - 2008,3,"Coupe
"
   Citroen C4 Coupe 1.4 16V Seduction,2008 - 2009,3,"Coupe
"
   Citroen C4 Aircross 1.6i 2WD Attraction,2012 - 2015,5,"SUV
"
   Citroen C4 Picasso 1.6 VTi Seduction,2008 - 2010,5,"MPV
"
   Citroen C4 Picasso VTi 120 Attraction,2010 - 2013,5,"MPV
"
   Citroen Grand C4 Picasso 1.6 VTi Seduction,2008 - 2010,5,"MPV
"
   Citroen Grand C4 Picasso VTi 120 Attraction 5P,2010 - 2013,5,"MPV
"
   Citroen C5 1.8 16V Ligne Seduction,2001 - 2004,5,"Hatchback
"
   Citroen C5 1.8 16V Ligne Seduction,2004 - 2005,5,"Hatchback
"
   Citroen C5 1.8i 16v,2008 - 2010,4,"Sedan
"
   Citroen C5 VTi 120 Attraction,2010 - 2012,4,"Sedan
"
   Citroen C5 Break 1.8 16V Ligne Seduction,2001 - 2004,5,"Station wagon
"
   Citroen C5 Break 1.8 16V Ligne Seduction,2004 - 2005,5,"Station wagon
"
   Citroen C5 Tourer 1.8i 16v,2008 - 2010,5,"Station wagon
"
   Citroen C5 Tourer VTi 120 Attraction,2010 - 2012,5,"Station wagon
"
   Citroen C6 3.0i V6,2006 - 2008,4,"Sedan
"
   Citroen C8 2.0i 16V Ligne Prestige,2002 - 2008,5,"MPV
"
   Citroen C8 2.0i 16V Prestige,2008 - 2011,5,"MPV
"
   Citroen CX 2000 Reflex,1979 - 1982,4,"Sedan
"
   Citroen CX 20,1982 - 1985,4,"Sedan
"
   Citroen CX 20 RE,1985 - 1989,4,"Sedan
"
   Citroen CX Break 2000 Reflex,1979 - 1982,5,"Station wagon
"
   Citroen CX Break 20,1982 - 1985,5,"Station wagon
"
   Citroen CX Break 20 RE,1985 - 1987,5,"Station wagon
"
   Citroen DS3 1.4 VTi Chic,2010 - 2012,3,"Hatchback
"
   Citroen DS4 VTi 120 Chic,2011 - 2014,5,"Hatchback
"
   Citroen DS5 THP 155 Chic,2011 - 2015,5,"Hatchback
"
   Citroen Evasion 1.8i,1997 - 1998,5,"MPV
"
   Citroen Evasion 1.8i,1998 - 2000,5,"MPV
"
   Citroen Jumper Combi Comfort 30 L1H1 HDi 110,2012 - 2014,4,"Passenger bus
"
   Citroen Jumpy Combi L1H1 HDi 95 Comfort,2012 - 2012,4,"Van
"
   Citroen Jumpy Multispace L1H1 HDi 95 Comfort,2012 - 2016,4,"Van
"
   Citroen Nemo Multispace 1.4i,2009 - 2013,5,"MPV
"
   Citroen Saxo 1.1i X,1996 - 1998,3,"Hatchback
"
   Citroen Saxo 1.0i X,1998 - 1999,3,"Hatchback
"
   Citroen Saxo 1.1i,1999 - 2002,3,"Hatchback
"
   Citroen Saxo 1.1i X,1996 - 1998,5,"Hatchback
"
   Citroen Saxo 1.1i X,1998 - 1999,5,"Hatchback
"
   Citroen Saxo 1.1i,2000 - 2002,5,"Hatchback
"
   Citroen Xantia 1.6i X,1993 - 1997,5,"Hatchback
"
   Citroen Xantia 1.8i Deauville,1998 - 2000,5,"Hatchback
"
   Citroen Xantia Break 1.8i X,1995 - 1998,5,"Station wagon
"
   Citroen Xantia Break 1.8i Deauville,1998 - 2000,5,"Station wagon
"
   Citroen XM 2.0i,1990 - 1992,5,"Hatchback
"
,,,
,,,
,,,
   Citroen XM 2.0i 16V SX,1994 - 1997,5,"Hatchback
"
   Citroen XM 2.0i,1997 - 2000,5,"Hatchback
"
   Citroen XM Break 2.0i Comfort,1992 - 1994,5,"Station wagon
"
   Citroen XM Break 2.0i 16V SX,1994 - 1997,5,"Station wagon
"
   Citroen XM Break 2.0i,1997 - 2000,5,"Station wagon
"
   Citroen Xsara 1.4i Deauville,1999 - 2000,5,"Hatchback
"
   Citroen Xsara 1.4i Ligne Prestige,2000 - 2003,5,"Hatchback
"
   Citroen Xsara 1.4i Ligne Prestige,2003 - 2004,5,"Hatchback
"
   Citroen Xsara Break 1.4i Deauville,1999 - 2000,5,"Station wagon
"
   Citroen Xsara Break 1.4i Ligne Prestige,2000 - 2003,5,"Station wagon
"
   Citroen Xsara Break 1.4i Ligne Prestige,2003 - 2004,5,"Station wagon
"
   Citroen Xsara Coupe 1.4i Deauville,1999 - 2000,3,"Coupe
"
   Citroen Xsara Coupe 1.4i Ligne Seduction,2000 - 2003,3,"Coupe
"
   Citroen Xsara Coupe 1.4i Ligne Seduction,2003 - 2004,3,"Coupe
"
   Citroen Xsara Picasso 1.6i,2000 - 2002,5,"MPV
"
   Citroen Xsara Picasso 1.6i,2004 - 2005,5,"MPV
"
   Citroen ZX Reflex 1.4,1992 - 1994,3,"Hatchback
"
   Citroen ZX Reflex 1.4i,1994 - 1996,3,"Hatchback
"
   Citroen ZX 1.4i X,1996 - 1997,3,"Hatchback
"
   Citroen ZX Reflex 1.4,1991 - 1994,5,"Hatchback
"
   Citroen ZX Reflex 1.4i,1994 - 1996,5,"Hatchback
"
   Citroen ZX 1.4i X,1996 - 1997,5,"Hatchback
"
   Citroen ZX Break Reflex 1.4i,1994 - 1996,5,"Station wagon
"
   Citroen ZX Break 1.4i X,1996 - 1998,5,"Station wagon
"
   Dacia Duster 1.6 16V 4x2,2010 - 2013,5,"SUV
"
   Dacia Lodgy TCe 115 Ambiance 5P,2012 - 2015,5,"MPV
"
   Dacia Logan 1.4,2005 - 2008,4,"Sedan
"
   Dacia Logan MCV 1.4,2007 - 2008,5,"Station wagon
"
   Dacia Logan MCV 1.4,2010 - 2011,5,"Station wagon
"
   Dacia Sandero 1.2 16V,2009 - 2012,5,"Hatchback
"
   Daewoo Espero 1.5 GLX,1995 - 1997,4,"Sedan
"
   Daewoo Evanda 2.0 SX,2003 - 2004,4,"Sedan
"
   Daewoo Kalos 1.2 Pure,2003 - 2004,5,"Hatchback
"
   Daewoo Kalos 1.4 Spirit,2004 - 2004,4,"Sedan
"
   Daewoo Lacetti 1.4 Spirit,2004 - 2004,5,"Hatchback
"
   Daewoo Lanos 1.3 S,1999 - 2001,3,"Hatchback
"
   Daewoo Lanos 1.3 Pure,2001 - 2003,3,"Hatchback
"
   Daewoo Lanos 1.3 SE,1997 - 2001,5,"Hatchback
"
   Daewoo Lanos 1.3 Pure,2001 - 2003,5,"Hatchback
"
   Daewoo Lanos 1.3 SE,1997 - 2001,4,"Sedan
"
   Daewoo Lanos 1.3 Pure,2001 - 2003,4,"Sedan
"
   Daewoo Leganza 2.0 SX,1997 - 2003,4,"Sedan
"
   Daewoo Matiz S,1998 - 2001,5,"Hatchback
"
   Daewoo Matiz 0.8 Pure,2001 - 2004,5,"Hatchback
"
   Daewoo Nexia 1.5 GL,1995 - 1997,3,"Hatchback
"
   Daewoo Nexia 1.5 GL,1995 - 1997,5,"Hatchback
"
   Daewoo Nexia 1.5 GL,1995 - 1997,4,"Sedan
"
   Daewoo Nubira 1.6 SE,1997 - 1999,5,"Hatchback
"
,,,
,,,
,,,
   Daewoo Nubira 1.6 SE,1999 - 2003,5,"Hatchback
"
   Daewoo Nubira 1.6 SE,1997 - 1999,4,"Sedan
"
   Daewoo Nubira 1.6 SE,1999 - 2003,4,"Sedan
"
   Daewoo Nubira 1.4 Spirit,2004 - 2004,4,"Sedan
"
   Daewoo Nubira Wagon 1.6 SE,1997 - 1999,5,"Station wagon
"
   Daewoo Nubira Wagon 1.6 SE,1999 - 2003,5,"Station wagon
"
   Daewoo Tacuma 1.6 Spirit,2001 - 2004,5,"MPV
"
   Daewoo Tacuma 1.6 Spirit,2004 - 2004,5,"MPV
"
   Daihatsu Applause 16i,1989 - 1991,5,"Hatchback
"
   Daihatsu Applause 1.6i,1998 - 2001,5,"Hatchback
"
   Daihatsu Charade TG Economy,1984 - 1985,3,"Hatchback
"
   Daihatsu Charade TG Economy,1985 - 1985,3,"Hatchback
"
   Daihatsu Charade TS,1987 - 1993,3,"Hatchback
"
   Daihatsu Charade 1.3i TS E,1993 - 1996,3,"Hatchback
"
   Daihatsu Charade 1.3 CTi,1996 - 2001,3,"Hatchback
"
   Daihatsu Charade CS,1983 - 1985,5,"Hatchback
"
   Daihatsu Charade CG,1985 - 1985,5,"Hatchback
"
   Daihatsu Charade CS Special,1987 - 1993,5,"Hatchback
"
   Daihatsu Charade 1.3i CS,1993 - 1996,5,"Hatchback
"
   Daihatsu Charade 1.3 CTi,1996 - 2001,5,"Hatchback
"
   Daihatsu Charade Classic,2011 - 2012,5,"Hatchback
"
   Daihatsu Charade 1.3i SG,1992 - 1994,4,"Sedan
"
   Daihatsu Copen Type S,2004 - 2006,2,"Convertible
"
   Daihatsu Copen Roadster 1.3 16V DVVT,2006 - 2011,2,"Convertible
"
   Daihatsu Cuore Economy,1980 - 1985,3,"Hatchback
"
   Daihatsu Cuore 850 TG,1987 - 1990,3,"Hatchback
"
   Daihatsu Cuore 850 TG,1990 - 1995,3,"Hatchback
"
   Daihatsu Cuore Basic,1995 - 1997,3,"Hatchback
"
   Daihatsu Cuore STi-12V,1998 - 2001,3,"Hatchback
"
   Daihatsu Cuore STi-12V,2001 - 2003,3,"Hatchback
"
   Daihatsu Cuore 1.0 12V Kyoto,2003 - 2006,3,"Hatchback
"
   Daihatsu Cuore 1.0 12V DVVT,2006 - 2007,3,"Hatchback
"
   Daihatsu Cuore De Luxe,1980 - 1983,4,"Hatchback
"
   Daihatsu Cuore 850 CS,1985 - 1990,5,"Hatchback
"
   Daihatsu Cuore 850 CS,1990 - 1995,5,"Hatchback
"
   Daihatsu Cuore Trendy,1995 - 1998,5,"Hatchback
"
   Daihatsu Cuore STi-12V,1998 - 2000,5,"Hatchback
"
   Daihatsu Cuore STi-12V,2001 - 2003,5,"Hatchback
"
   Daihatsu Cuore 1.0 12V Tokyo,2003 - 2006,5,"Hatchback
"
   Daihatsu Cuore 1.0 12V DVVT Tokyo,2006 - 2007,5,"Hatchback
"
   Daihatsu Cuore 1.0 Trend,2007 - 2009,5,"Hatchback
"
   Daihatsu Feroza Resin-Top EL,1991 - 1994,3,"SUV
"
   Daihatsu Feroza Soft-Top,1995 - 1998,3,"SUV
"
   Daihatsu Gran Move 1.5i,1997 - 1999,5,"MPV
"
   Daihatsu Gran Move 1.6i,1999 - 2002,5,"MPV
"
   Daihatsu Materia 1.3 Rythm,2007 - 2011,5,"MPV
"
   Daihatsu Move,1997 - 1999,5,"MPV
"
   Daihatsu Move,1999 - 2001,5,"MPV
"
,,,
,,,
,,,
   Daihatsu Move,2001 - 2003,5,"MPV
"
   Daihatsu Rocky Hardtop SE Diesel,1994 - 1995,3,"SUV
"
   Daihatsu Rocky Hardtop BX,1988 - 1989,3,"SUV
"
   Daihatsu Rocky Softtop BX,1988 - 1989,3,"SUV
"
   Daihatsu Rocky Wagon DX,1988 - 1992,3,"SUV
"
   Daihatsu Sirion 1.0 12V STi,1998 - 2001,5,"Hatchback
"
   Daihatsu Sirion 1.0 12V SXi,2002 - 2005,5,"Hatchback
"
   Daihatsu Sirion 2 1.0 12V DVVT Trend,2005 - 2010,5,"Hatchback
"
   Daihatsu Terios 1.3i,1997 - 2000,5,"SUV
"
   Daihatsu Terios 2WD 1.3i DX,2000 - 2005,5,"SUV
"
   Daihatsu Terios 1.5 16V DVVT 2WD,2006 - 2010,5,"SUV
"
   Daihatsu Terios 1.5 16V DVVT 2WD Traffic,2010 - 2011,5,"SUV
"
   Daihatsu Trevis,2006 - 2011,5,"Hatchback
"
   Daihatsu Valera 1.5 SGi,1995 - 1996,4,"Sedan
"
   Daihatsu Valera 1.5 SGi,1996 - 1998,4,"Sedan
"
   Daihatsu Young RV 1.0 12V STi,2001 - 2007,5,"MPV
"
   Dodge Avenger 2.0 SE,2007 - 2010,4,"Sedan
"
   Dodge Caliber 1.8 S,2006 - 2009,5,"MPV
"
   Dodge Journey 2.4 SE Base,2010 - 2011,5,"MPV
"
   Dodge Nitro 3.7 V6 4x4 SE,2007 - 2010,5,"SUV
"
   Dodge Viper SRT10,2005 - 2008,2,"Convertible
"
   Donkervoort D8 Zetec,1993 - 1999,2,"Convertible
"
   Ferrari 348 Spider,1993 - 1995,2,"Convertible
"
   Ferrari 360 Modena,1999 - 2004,2,"Coupe
"
   Ferrari 360 Spider,2000 - 2005,2,"Convertible
"
   Ferrari 456 GT,1994 - 1998,2,"Coupe
"
   Ferrari 458 Spider HELE,2011 - 2015,2,"Convertible
"
   Ferrari 599 GTB Fiorano,2006 - 2011,2,"Coupe
"
   Ferrari F12 Berlinetta,2012 - 2017,2,"Coupe
"
   Ferrari California HELE,2011 - 2012,2,"Convertible
"
   Ferrari Enzo,2002 - 2004,2,"Coupe
"
   Ferrari F355 Berlinetta,1994 - 1999,2,"Coupe
"
   Ferrari F355 Spider,1995 - 2000,2,"Convertible
"
   Ferrari F430,2004 - 2010,2,"Coupe
"
   Ferrari F430 Spider,2005 - 2010,2,"Convertible
"
   Ferrari FF,2011 - 2016,3,"Coupe
"
   Fiat 500 1.2 Naked,2008 - 2009,3,"Hatchback
"
   Fiat 600 Actual,2005 - 2007,3,"Hatchback
"
   Fiat Barchetta 1.8 16v,1995 - 2003,2,"Convertible
"
   Fiat Barchetta 1.8 16v Dynamic,2003 - 2005,2,"Convertible
"
   Fiat Brava 1.4 S,1995 - 1998,5,"Hatchback
"
   Fiat Brava 1.2 16V SX,1998 - 2001,5,"Hatchback
"
   Fiat Bravo 1.4 S,1995 - 1998,3,"Hatchback
"
   Fiat Bravo 1.2 16V SX,1998 - 2001,3,"Hatchback
"
   Fiat Bravo 1.4 16v Active,2007 - 2010,5,"Hatchback
"
   Fiat Bravo 1.4 16v Actual,2010 - 2012,5,"Hatchback
"
   Fiat Cinquecento,1992 - 1995,3,"Hatchback
"
   Fiat Coupe 1.8 16v,1996 - 2000,2,"Coupe
"
,,,
,,,
,,,
   Fiat Croma CHT,1986 - 1988,5,"Hatchback
"
   Fiat Croma 2.0 i.e.,1991 - 1996,5,"Hatchback
"
   Fiat Croma 1.8 16v Active,2006 - 2008,5,"Hatchback
"
   Fiat Croma 1.8 16v Active,2008 - 2009,5,"Hatchback
"
   Fiat Doblo 1.2 SX,2001 - 2004,5,"MPV
"
   Fiat Doblo 1.4 8v Active,2005 - 2010,5,"MPV
"
   Fiat Doblo 1.4 16v Active,2010 - 2013,5,"MPV
"
   Fiat Doblo Combinato 1.4 16v,2012 - 2015,5,"MPV
"
   Fiat Ducato Combinato KH1 30 2.0 MultiJet 115 Actual,2012 - 2014,4,"Passenger bus
"
   Fiat Idea 1.4 8v Actual,2005 - 2005,5,"MPV
"
   Fiat Idea 1.4 8v Actual,2005 - 2007,5,"MPV
"
   Fiat Marea 1.6 16V SX,1996 - 2002,4,"Sedan
"
   Fiat Marea Weekend 1.6 16V SX,1996 - 2003,5,"Station wagon
"
   Fiat Multipla 1.6 16v SX,1998 - 2002,5,"MPV
"
   Fiat Multipla 1.6 16v SX,2002 - 2004,5,"MPV
"
   Fiat Multipla 1.6 16v Active,2004 - 2007,5,"MPV
"
   Fiat Palio Weekend 75,1997 - 2001,5,"Station wagon
"
   Fiat Panda 34 Shopping,1983 - 1986,3,"Hatchback
"
   Fiat Panda 750 L,1986 - 1989,3,"Hatchback
"
   Fiat Panda 1.1 Actual,2005 - 2010,5,"Hatchback
"
   Fiat Panda TwinAir 60 Panda,2014 - 2014,5,"Hatchback
"
   Fiat Panda Classic 1.2 69,2012 - 2012,5,"Hatchback
"
   Fiat Grande Punto 1.2 8v Active,2006 - 2008,3,"Hatchback
"
   Fiat Grande Punto 1.2 Active,2008 - 2009,3,"Hatchback
"
   Fiat Punto 55 S,1994 - 1997,3,"Hatchback
"
   Fiat Punto 55 S,1997 - 1999,3,"Hatchback
"
   Fiat Punto 1.2,1999 - 2002,3,"Hatchback
"
   Fiat Punto 1.2 Classic,2006 - 2006,3,"Hatchback
"
   Fiat Punto 1.2 Pop,2012 - 2012,3,"Hatchback
"
   Fiat Punto Evo 1.2 Active,2009 - 2011,3,"Hatchback
"
   Fiat Grande Punto 1.2 8v Active,2006 - 2008,5,"Hatchback
"
   Fiat Grande Punto 1.2 Active,2008 - 2009,5,"Hatchback
"
   Fiat Punto 60 S,1994 - 1997,5,"Hatchback
"
   Fiat Punto 55 S,1997 - 1999,5,"Hatchback
"
   Fiat Punto 1.2,1999 - 2002,5,"Hatchback
"
   Fiat Punto 1.2 Classic,2006 - 2006,5,"Hatchback
"
   Fiat Punto 1.2 Pop,2012 - 2012,5,"Hatchback
"
   Fiat Punto Evo 1.2 Active,2009 - 2011,5,"Hatchback
"
   Fiat Punto Cabrio 60 S,1994 - 1997,2,"Convertible
"
   Fiat Punto Cabrio 60 S,1997 - 2000,2,"Convertible
"
   Fiat Qubo 1.4 8v Active,2009 - 2010,5,"MPV
"
   Fiat Scudo Combi KH1 2.0 MultiJet 128hp,2012 - 2017,4,"Passenger bus
"
   Fiat Sedici 1.6 16v Dynamic,2007 - 2009,5,"SUV
"
   Fiat Sedici 1.6 16v Dynamic,2009 - 2012,5,"SUV
"
   Fiat Sedici 1.6 16v Active,2012 - 2013,5,"SUV
"
   Fiat Seicento 900 i.e. Young,1999 - 1999,3,"Hatchback
"
   Fiat Seicento 1.1 S,2001 - 2004,3,"Hatchback
"
   Fiat Seicento 1.1 Active,2004 - 2005,3,"Hatchback
"
,,,
,,,
,,,
   Fiat Stilo 80 16v Active,2002 - 2004,3,"Hatchback
"
   Fiat Stilo 1.4 16v Active,2006 - 2007,3,"Hatchback
"
   Fiat Stilo 80 16v Active,2002 - 2004,5,"Hatchback
"
   Fiat Stilo 1.4 16v Active,2006 - 2007,5,"Hatchback
"
   Fiat Stilo Multi Wagon 1.4 16v Actual,2005 - 2006,5,"Station wagon
"
   Fiat Stilo Multi Wagon 1.6 16v Dynamic,2006 - 2007,5,"Station wagon
"
   Fiat Tempra 1.6 i.e.,1991 - 1993,4,"Sedan
"
   Fiat Tempra 1.4 i.e. L,1993 - 1995,4,"Sedan
"
   Fiat Tempra S.W. 1.6 i.e.,1991 - 1993,5,"Station wagon
"
   Fiat Tempra S.W. 1.4 i.e. L,1993 - 1996,5,"Station wagon
"
   Fiat Tipo 1.4 i.e. S,1993 - 1995,3,"Hatchback
"
   Fiat Tipo 1.4 i.e.,1988 - 1989,5,"Hatchback
"
   Fiat Tipo 1.4 i.e. S,1993 - 1995,5,"Hatchback
"
   Fiat Ulysse 1.8 L,1996 - 1999,5,"MPV
"
   Fiat Ulysse 1.8 L,1999 - 1999,5,"MPV
"
   Fiat Ulysse 2.0 16v Active,2002 - 2005,5,"MPV
"
   Fiat Uno 45,1983 - 1988,3,"Hatchback
"
   Fiat Uno 1.0 i.e.,1989 - 1991,3,"Hatchback
"
   Fiat Uno 55,1983 - 1985,5,"Hatchback
"
   Fiat Uno 1.0 i.e. S,1989 - 1991,5,"Hatchback
"
   Fisker Karma EcoStandard,2011 - 2013,4,"Sedan
"
   Ford C-MAX 1.6 16V Trend,2007 - 2010,5,"MPV
"
   Ford C-MAX 1.6 TI-VCT 85hp Ambiente,2012 - 2012,5,"MPV
"
   Ford Grand C-MAX 1.6 TI-VCT 105hp Ambiente,2012 - 2012,5,"MPV
"
   Ford Cougar 2.0i 16V,1998 - 2001,3,"Coupe
"
   Ford Escort 1.1 Custom,1980 - 1984,3,"Hatchback
"
   Ford Escort 1.1 C,1986 - 1987,3,"Hatchback
"
   Ford Escort 1.3i CL,1991 - 1992,3,"Hatchback
"
   Ford Escort 1.3i Laser,1993 - 1995,3,"Hatchback
"
   Ford Escort 1.3i CL,1995 - 1996,3,"Hatchback
"
   Ford Escort 1.1 Custom,1980 - 1984,5,"Hatchback
"
   Ford Escort 1.1 C,1986 - 1987,5,"Hatchback
"
   Ford Escort 1.4i CL,1990 - 1992,5,"Hatchback
"
   Ford Escort 1.3i Laser,1993 - 1995,5,"Hatchback
"
   Ford Escort 1.4i CLX,1995 - 1996,5,"Hatchback
"
   Ford Escort 1.3i Laser,1993 - 1995,4,"Sedan
"
   Ford Escort 1.4i CLX,1995 - 1996,4,"Sedan
"
   Ford Escort Stationwagon 1.1 Custom,1980 - 1982,3,"Station wagon
"
   Ford Escort Clipper 1.4i CL,1991 - 1992,5,"Station wagon
"
   Ford Escort Clipper 1.3i CL,1993 - 1993,5,"Station wagon
"
   Ford Escort Stationwagon 1.3 Custom,1983 - 1984,5,"Station wagon
"
   Ford Escort Stationwagon 1.3 CL,1986 - 1987,5,"Station wagon
"
   Ford Escort Wagon 1.4i CLX,1995 - 1996,5,"Station wagon
"
   Ford Escort Cabrio 1.6,1984 - 1986,2,"Convertible
"
   Ford Escort Cabrio 1.6 Ghia,1986 - 1987,2,"Convertible
"
   Ford Escort Cabrio 1.4i CLX,1992 - 1993,2,"Convertible
"
   Ford Escort Cabrio 1.6i CLX,1993 - 1995,2,"Convertible
"
   Ford Escort Cabriolet 1.4i Studio,1996 - 1998,2,"Convertible
"
,,,
,,,
,,,
   Ford Expedition XLT,1998 - 2001,5,"SUV
"
   Ford Explorer XLT,1995 - 2002,5,"SUV
"
   Ford Fiesta 950 Festival,1982 - 1983,3,"Hatchback
"
   Ford Fiesta 1.0,1983 - 1986,3,"Hatchback
"
   Ford Fiesta 1.0 C,1986 - 1989,3,"Hatchback
"
   Ford Fiesta 1.1i C,1989 - 1990,3,"Hatchback
"
   Ford Fiesta 1.1i Finesse,1994 - 1995,3,"Hatchback
"
   Ford Fiesta 1.3i,1997 - 1998,3,"Hatchback
"
   Ford Fiesta 1.3i Classic,2001 - 2002,3,"Hatchback
"
   Ford Fiesta 1.3 Core,2003 - 2003,3,"Hatchback
"
   Ford Fiesta 1.3,2007 - 2008,3,"Hatchback
"
   Ford Fiesta 1.25 60hp Limited,2009 - 2013,3,"Hatchback
"
   Ford Fiesta Classic 1.1i,1995 - 1996,3,"Hatchback
"
   Ford Fiesta 1.1i CL,1989 - 1990,5,"Hatchback
"
   Ford Fiesta 1.1i Flash,1994 - 1995,5,"Hatchback
"
   Ford Fiesta 1.3i,1997 - 1998,5,"Hatchback
"
   Ford Fiesta 1.3i Classic,2001 - 2002,5,"Hatchback
"
   Ford Fiesta 1.3 Core,2002 - 2003,5,"Hatchback
"
   Ford Fiesta 1.3,2007 - 2008,5,"Hatchback
"
   Ford Fiesta 1.25 60hp Limited,2009 - 2012,5,"Hatchback
"
   Ford Fiesta Classic 1.1i,1995 - 1996,5,"Hatchback
"
   Ford Focus 1.4i 16V Trend,1998 - 2001,3,"Hatchback
"
   Ford Focus 1.4 16V Cool Edition,2001 - 2004,3,"Hatchback
"
   Ford Focus 1.4 16V Ambiente,2004 - 2008,3,"Hatchback
"
   Ford Focus 1.4 16V Trend,2008 - 2010,3,"Hatchback
"
   Ford Focus 1.4i 16V Trend,1998 - 2001,5,"Hatchback
"
   Ford Focus 1.4 16V Cool Edition,2001 - 2004,5,"Hatchback
"
   Ford Focus 1.4 16V Ambiente,2004 - 2008,5,"Hatchback
"
   Ford Focus 1.4 16V Trend,2008 - 2010,5,"Hatchback
"
   Ford Focus 1.0 EcoBoost 100hp ECOnetic Ambiente,2012 - 2014,5,"Hatchback
"
   Ford Focus 1.6i 16V Ghia,1999 - 2001,4,"Sedan
"
   Ford Focus 1.4 16V Cool Edition,2002 - 2004,4,"Sedan
"
   Ford Focus 1.4 16V Trend,2005 - 2008,4,"Sedan
"
   Ford Focus 1.4 16V Trend,2008 - 2010,4,"Sedan
"
   Ford Focus 1.0 EcoBoost 100hp ECOnetic Trend,2012 - 2014,4,"Sedan
"
   Ford Focus Wagon 1.4i 16V Ambiente,1999 - 2001,5,"Station wagon
"
   Ford Focus Wagon 1.4 16V Cool Edition,2001 - 2004,5,"Station wagon
"
   Ford Focus Wagon 1.4 16V Ambiente,2005 - 2008,5,"Station wagon
"
   Ford Focus Wagon 1.4 16V Trend,2008 - 2010,5,"Station wagon
"
   Ford Focus Wagon 1.0 EcoBoost 100hp ECOnetic Trend,2012 - 2014,5,"Station wagon
"
